bench,bench_id,tw_id,cosine
tb2,adaptive-rejection-sampler,tw_24569,0.2667
tb2,adaptive-rejection-sampler,tw_17238,0.2317
tb2,adaptive-rejection-sampler,tw_381835,0.2310
tb2,adaptive-rejection-sampler,tw_18271,0.2265
tb2,adaptive-rejection-sampler,tw_293066,0.2218
tb2,adaptive-rejection-sampler,tw_18273,0.2140
tb2,adaptive-rejection-sampler,tw_11071,0.2033
tb2,adaptive-rejection-sampler,tw_49852,0.2010
tb2,adaptive-rejection-sampler,tw_156975,0.1983
tb2,adaptive-rejection-sampler,tw_649673,0.1960
tb2,adaptive-rejection-sampler,tw_613847,0.1945
tb2,adaptive-rejection-sampler,tw_14593,0.1941
tb2,adaptive-rejection-sampler,tw_713442,0.1937
tb2,adaptive-rejection-sampler,tw_366394,0.1926
tb2,adaptive-rejection-sampler,tw_282296,0.1925
tb2,adaptive-rejection-sampler,tw_319907,0.1913
tb2,adaptive-rejection-sampler,tw_151591,0.1907
tb2,adaptive-rejection-sampler,tw_455007,0.1898
tb2,adaptive-rejection-sampler,tw_686647,0.1889
tb2,adaptive-rejection-sampler,tw_532786,0.1879
tb2,bn-fit-modify,tw_270877,0.3580
tb2,bn-fit-modify,tw_125964,0.3375
tb2,bn-fit-modify,tw_366394,0.3346
tb2,bn-fit-modify,tw_48144,0.3228
tb2,bn-fit-modify,tw_30769,0.3179
tb2,bn-fit-modify,tw_487175,0.3129
tb2,bn-fit-modify,tw_125967,0.3107
tb2,bn-fit-modify,tw_474880,0.3106
tb2,bn-fit-modify,tw_707448,0.3101
tb2,bn-fit-modify,tw_274045,0.3090
tb2,bn-fit-modify,tw_455003,0.3077
tb2,bn-fit-modify,tw_357120,0.3070
tb2,bn-fit-modify,tw_569867,0.3051
tb2,bn-fit-modify,tw_492423,0.3045
tb2,bn-fit-modify,tw_131343,0.3004
tb2,bn-fit-modify,tw_474074,0.3003
tb2,bn-fit-modify,tw_341125,0.3002
tb2,bn-fit-modify,tw_12673,0.2998
tb2,bn-fit-modify,tw_151591,0.2996
tb2,bn-fit-modify,tw_615831,0.2995
tb2,break-filter-js-from-html,tw_460448,0.3447
tb2,break-filter-js-from-html,tw_273601,0.3301
tb2,break-filter-js-from-html,tw_12702,0.2636
tb2,break-filter-js-from-html,tw_617008,0.2503
tb2,break-filter-js-from-html,tw_229404,0.2448
tb2,break-filter-js-from-html,tw_316426,0.2422
tb2,break-filter-js-from-html,tw_460725,0.2335
tb2,break-filter-js-from-html,tw_443383,0.2331
tb2,break-filter-js-from-html,tw_6336,0.2232
tb2,break-filter-js-from-html,tw_229529,0.2198
tb2,break-filter-js-from-html,tw_316425,0.2189
tb2,break-filter-js-from-html,tw_6740,0.2102
tb2,break-filter-js-from-html,tw_104903,0.2068
tb2,break-filter-js-from-html,tw_9213,0.2062
tb2,break-filter-js-from-html,tw_499633,0.2007
tb2,break-filter-js-from-html,tw_346504,0.1999
tb2,break-filter-js-from-html,tw_245018,0.1991
tb2,break-filter-js-from-html,tw_45843,0.1987
tb2,break-filter-js-from-html,tw_101457,0.1984
tb2,break-filter-js-from-html,tw_187148,0.1947
tb2,build-cython-ext,tw_145100,0.4885
tb2,build-cython-ext,tw_432894,0.4574
tb2,build-cython-ext,tw_419364,0.4483
tb2,build-cython-ext,tw_355118,0.4441
tb2,build-cython-ext,tw_15546,0.4370
tb2,build-cython-ext,tw_419317,0.4325
tb2,build-cython-ext,tw_485539,0.4129
tb2,build-cython-ext,tw_528959,0.4075
tb2,build-cython-ext,tw_739013,0.4068
tb2,build-cython-ext,tw_30411,0.4032
tb2,build-cython-ext,tw_741214,0.3912
tb2,build-cython-ext,tw_137513,0.3895
tb2,build-cython-ext,tw_5263,0.3879
tb2,build-cython-ext,tw_187776,0.3769
tb2,build-cython-ext,tw_617008,0.3756
tb2,build-cython-ext,tw_441243,0.3748
tb2,build-cython-ext,tw_744059,0.3714
tb2,build-cython-ext,tw_696113,0.3711
tb2,build-cython-ext,tw_8300,0.3675
tb2,build-cython-ext,tw_290037,0.3623
tb2,build-pmars,tw_4289,0.4045
tb2,build-pmars,tw_560881,0.3158
tb2,build-pmars,tw_310044,0.3141
tb2,build-pmars,tw_49852,0.3089
tb2,build-pmars,tw_504009,0.3047
tb2,build-pmars,tw_712739,0.2862
tb2,build-pmars,tw_185583,0.2841
tb2,build-pmars,tw_713468,0.2779
tb2,build-pmars,tw_11733,0.2694
tb2,build-pmars,tw_609101,0.2682
tb2,build-pmars,tw_110130,0.2653
tb2,build-pmars,tw_510751,0.2619
tb2,build-pmars,tw_707767,0.2610
tb2,build-pmars,tw_532828,0.2599
tb2,build-pmars,tw_573936,0.2586
tb2,build-pmars,tw_165299,0.2571
tb2,build-pmars,tw_123683,0.2564
tb2,build-pmars,tw_381835,0.2555
tb2,build-pmars,tw_673372,0.2547
tb2,build-pmars,tw_124530,0.2537
tb2,build-pov-ray,tw_102287,0.4314
tb2,build-pov-ray,tw_504009,0.4065
tb2,build-pov-ray,tw_121663,0.3912
tb2,build-pov-ray,tw_574774,0.3859
tb2,build-pov-ray,tw_544847,0.3520
tb2,build-pov-ray,tw_105601,0.3443
tb2,build-pov-ray,tw_609101,0.3281
tb2,build-pov-ray,tw_112262,0.3280
tb2,build-pov-ray,tw_129867,0.3271
tb2,build-pov-ray,tw_560881,0.3224
tb2,build-pov-ray,tw_13087,0.3036
tb2,build-pov-ray,tw_129894,0.3020
tb2,build-pov-ray,tw_191493,0.3013
tb2,build-pov-ray,tw_12007,0.2971
tb2,build-pov-ray,tw_113781,0.2914
tb2,build-pov-ray,tw_8300,0.2888
tb2,build-pov-ray,tw_496403,0.2873
tb2,build-pov-ray,tw_103414,0.2858
tb2,build-pov-ray,tw_337582,0.2852
